	PD_whole_tree	chao1	observed_otus
E10.Mon.curt.1.20150629.M	32.2304	261.774193548	177.0
E10.Sed.1.20150630	77.96732	1653.50925926	633.0
E1.11.Lep.tran.1.20140731.T	69.36039	1731.05660377	450.0
E7.5.Gal.fasc.1.20150621.S	58.49562	1133.55319149	378.0
E1.2.Tur.stel.1.20140805.S	78.33456	2068.17808219	584.0
E3.15.Dip.heli.1.20150121.S	22.80869	289.090909091	165.0
E3.6.Acr.hyac.2.20150106.T	5.99638	86.8571428571	44.0
E1.4.Pac.spec.1.20140811.T	9.91814	171.857142857	66.0
E10.Cyp.micr.1.20150627.M	14.1437	189.625	82.0
E10.17.Fav.abdi.1.20150630.M	7.29553	155.75	47.0
E10.Por.hero.3.20150628.M	9.88637	172.0	34.0
E1.7.Pav.sp.1.20140905.T	55.20601	1584.18181818	375.0
E1.5.Gal.astr.1.20140814.T	59.67089	1823.32352941	378.0
E7.3.Por.loba.4.20150619.S	47.74134	621.25	283.0
E7.17.Fav.spA.1.20150623.S	55.47458	886.424242424	388.0
E1.3.Por.cyli.1.20140801.S	36.50649	705.285714286	251.0
E1.Out.Mil.sp.1.20140814.S	40.01491	773.578947368	286.0
E7.17.Cyp.micr.2.20150621.S	52.86656	1476.7	337.0
E1.17.Fav.sp.1.20140811.S	62.60453	2052.77272727	476.0
E1.7.Pav.vari.1.20140815.S	61.62875	1437.05769231	437.0
E7.19.Lob.hemp.1.20150621.S	30.22105	407.8	168.0
E3.5.Gal.astr.1.20150124.S	71.97308	1605.41176471	524.0
E7.17.Hyd.exce.1.20150620.S	38.59288	907.464285714	293.0
E10.17.Gon.favu.1.20150629.T	33.05646	395.0	181.0
E3.15.Dip.heli.3.20150105.S	72.87509	2026.0	494.0
E1.15.Dip.heli.1.20140726.T	61.54816	836.192307692	421.0
E7.5.Gal.astr.1.20150622.T	29.66715	325.05	138.0
E3.15.Dip.heli.3.20150123.T	48.26787	469.6875	295.0
E1.15.Dip.heli.1.20140726.S	57.1361	1113.66666667	391.0
E7.5.Gal.fasc.1.20150621.T	67.19761	1242.77586207	417.0
E10.17.Mon.curt.3.20150629.S	55.39761	1071.12244898	368.0
E1.Out.Pal.caes.1.20140815.T	32.05788	359.78125	169.0
E3.5.Gal.astr.2.20150124.S	61.31386	1704.19607843	486.0
E7.5.Gal.astr.1.20150622.S	15.00585	150.25	75.0
E7.19.Lob.hemp.1.20150621.T	72.94686	1420.01298701	519.0
E3.5.Gal.astr.2.20150127.S	32.35226	304.230769231	157.0
E1.5.Gal.astr.1.20140807.S	24.49958	301.5	152.0
E1.11.Psa.cont.1.20140730.T	8.56237	83.5	46.0
E1.15.Dip.heli.1.20140815.T	53.11109	1142.87804878	353.0
E3.15.Dip.heli.2.20150105.T	86.63615	1962.0	597.0
E1.17.Fav.sp.1.20140811.M	60.12972	1490.48837209	391.0
E3.15.Dip.heli.3.20150121.S	39.80498	538.363636364	235.0
E10.17.Gon.favu.1.20150630.S	68.32103	1671.88709677	492.0
E3.7.Pav.vari.2.20150124.S	70.43172	1384.74358974	519.0
E3.7.Pav.vari.1.20150124.T	72.00259	1365.69230769	481.0
E1.3.Por.loba.1.20140905.T	65.63068	1273.75	417.0
E1.2.Tur.reni.1.20140730.T	78.74097	1925.97590361	615.0
E3.5.Gal.astr.1.20150124.T	49.49997	634.139534884	276.0
E3.15.Dip.heli.3.20150106.T	75.83195	1062.8125	487.0
E1.11.Psa.cont.1.20140730.S	18.54672	303.153846154	101.0
E1.5.Gal.astr.1.20140807.T	48.23384	687.882352941	317.0
E10.17.Gon.favu.2.20150630.S	57.85483	1145.94230769	384.0
E7.19.Lob.hemp.2.20150619.S	54.65683	1228.56896552	424.0
E1.17.Cau.furc.1.20140801.DS	72.34633	1849.31818182	554.0
E7.7.Pav.vari.2.20150622.S	48.34342	893.977272727	311.0
E10.17.Gon.favu.2.20150630.T	85.42717	1964.825	593.0
E1.7.Pav.veno.1.20140809.S	57.61573	1386.1	397.0
E7.17.Fav.abdi.1.20150623.T	60.52531	1248.97826087	363.0
E7.3.Por.loba.4.20150619.T	24.72018	262.333333333	104.0
E3.14.Phy.lich.1.20150129.S	31.33911	480.576923077	192.0
E1.2.Tur.reni.1.20140814.S	51.01732	668.04	367.0
E1.3.Por.loba.1.20140726.T	43.94804	815.894736842	271.0
E1.5.Gal.astr.1.20140728.T	75.20922	1980.12658228	585.0
E7.3.Por.loba.2.20150619.T	23.77493	285.2	110.0
E3.15.Dip.heli.1.20150120.S	44.08573	646.026315789	268.0
E1.7.Pav.veno.1.20140811.S	68.92167	1758.34693878	476.0
E1.10.Poc.dami.1.20140731.S	44.09446	1021.02631579	328.0
E3.15.Dip.heli.1.20150123.S	60.14444	1167.58490566	404.0
E7.7.Pav.vari.1.20150623.S	41.76699	602.486486486	263.0
E3.15.Dip.heli.4.20150105.T	46.19996	724.56097561	282.0
E3.15.Dip.heli.2.20150119.S	41.03075	843.2	282.0
E10.17.Gon.favu.1.20150630.T	58.13665	1112.5625	356.0
E10.17.Gon.favu.1.20150629.S	28.35972	840.333333333	162.0
E7.17.Ech.lame.2.20150620.S	53.37679	1005.05263158	396.0
E3.7.Pav.vari.1.20150127.S	61.96327	1529.05084746	482.0
E1.17.Cau.furc.1.20140801.S	59.89801	1216.68421053	414.0
E7.17.Gon.edwa.1.20150623.T	69.13134	1558.63076923	497.0
E1.Out.Pal.caes.1.20140809.T	80.97067	2385.95652174	614.0
E1.17.Fav.sp.2.20140805.T	67.69614	1888.53846154	467.0
E7.17.Ech.lame.3.20150620.S	45.31688	686.2	328.0
E1.Out.Pal.caes.1.20140815.S	8.14239	169.857142857	64.0
E3.15.Dip.heli.3.20150123.S	76.4747	1571.03125	487.0
E3.15.Dip.heli.1.20150121.M	10.55069	99.25	70.0
E3.15.Dip.heli.3.20150123.M	22.46091	194.473684211	140.0
E3.11.Fun.sp.1.20150127.T	26.69988	158.0	128.0
E3.15.Dip.heli.1.20150120.M	12.22736	106.875	63.0
E3.4.Pac.rugo.1.20150128.M	16.7508	182.571428571	115.0
E3.14.Phy.lich.1.20150129.M	15.48592	165.571428571	107.0
E3.4.Pac.rugo.1.20150127.M	31.02565	393.285714286	222.0
E1.15.Dip.heli.1.20140809.S	89.02939	2445.5625	660.0
E1.Out.Lob.sp.1.20140803.M	28.74064	438.0	123.0
E1.17.Hyd.exes.1.20140803.T	12.03382	200.545454545	80.0
E1.19.Sym.sp.1.20140905.T	41.35458	905.12	239.0
E1.17.Hyd.exes.1.20140803.M	18.93369	191.8125	99.0
E1.2.Tur.reni.1.20140730.S	66.20041	1569.59649123	461.0
E1.17.Hyd.exes.1.20140803.S	38.23589	731.84	242.0
E1.17.Fav.sp.1.20140805.T	37.56041	789.757575758	274.0
E3.6.Acr.hyac.3.20150106.T	7.97133	118.666666667	51.0
E3.Out.Pal.caes.2.20150125.T	51.50357	862.166666667	299.0
E1.Out.Lob.sp.1.20140803.S	16.39977	177.090909091	95.0
E7.19.Lob.hemp.2.20150619.T	35.43857	431.885714286	196.0
E1.Out.Pal.caes.1.20140809.S	28.39864	229.078947368	158.0
E10.Acr.cyth.3.20150627.M	9.0557	130.857142857	60.0
E3.15.Dip.heli.4.20150106.T	82.88242	2210.51515152	583.0
E1.Out.Lob.sp.1.20140803.T	37.72501	513.387096774	195.0
E3.15.Dip.heli.1.20150106.T	49.58519	515.0	311.0
E3.15.Dip.heli.4.20150106.S	75.4111	1940.01587302	530.0
E7.19.Lob.hemp.1.20150619.T	41.37104	484.625	220.0
E3.7.Pav.vari.1.20150127.T	49.32213	1213.6	310.0
E1.17.Fav.sp.2.20140805.S	49.6073	1441.78431373	441.0
E3.15.Dip.heli.1.20150106.S	85.53476	2528.56338028	628.0
E1.5.Gal.astr.1.20140814.M	30.17538	322.75	174.0
E3.Out.Pal.caes.1.20150125.T	66.02672	720.441176471	425.0
E1.6.Iso.pali.1.20140803.M	38.1734	736.636363636	243.0
E1.17.Ech.mamm.1.20140815.M	37.54415	404.108695652	219.0
E1.5.Gal.astr.1.20140807.M	56.66515	1236.15384615	346.0
E1.3.Por.loba.1.20140724.M	54.32104	650.149253731	335.0
E10.17.Fav.abdi.2.20150630.S	12.3561	375.333333333	60.0
E7.3.Por.loba.1.20150619.S	28.64935	320.333333333	172.0
E7.Sed.1.20150619	82.11581	3150.05970149	687.0
E3.Out.Pal.caes.2.20150125.M	22.8736	311.0	173.0
E1.Out.Pal.caes.1.20140815.M	22.74356	290.555555556	115.0
E1.4.Pac.rugo.1.20140814.S	31.75754	227.125	174.0
E3.6.Acr.hyac.4.20150105.M	6.05594	67.5	42.0
E1.17.Fav.sp.1.20140811.T	39.30493	897.730769231	236.0
E3.3.Por.cyli.1.20150127.T	10.05143	89.0	39.0
E3.4.Pac.rugo.1.20150127.T	19.12163	138.090909091	93.0
E1.10.Sty.pist.1.20140807.M	20.82807	330.666666667	120.0
E1.Out.Hel.coer.1.20140811.T	65.9747	819.818181818	446.0
E10.Acr.pali.3.20150627.T	25.35931	516.6875	142.0
E1.Out.Mil.sp.1.20140731.T	15.64308	210.6	78.0
E3.3.Por.cyli.1.20150123.T	21.62057	293.928571429	101.0
E3.15.Dip.heli.1.20150119.S	40.12925	481.108108108	233.0
E1.17.Ech.lame.1.20140905.S	13.52666	198.0	104.0
E10.Alv.alli.2.20150628.T	43.15706	448.0	238.0
E1.17.Fav.sp.1.20140805.M	24.81905	268.882352941	110.0
E1.19.Sym.sp.1.20140814.M	27.55994	270.857142857	158.0
E1.3.Por.cyli.1.20140815.M	24.68604	398.272727273	111.0
E7.6.Acr.hyac.3.20150622.T	11.8157	251.6	71.0
E1.17.Ech.lame.1.20140905.M	20.98927	285.052631579	139.0
E10.Mon.curt.2.20150629.S	10.78804	146.333333333	38.0
E3.11.Fun.sp.2.20150125.M	15.68516	171.0	97.0
E1.19.Lob.sp.1.20140809.T	53.91251	863.385964912	339.0
E1.6.Iso.pali.1.20140803.T.2	11.77071	237.0	72.0
E7.3.Por.loba.1.20150619.T	16.64787	110.3125	64.0
E3.7.Pav.vari.2.20150124.T	72.95277	1493.3559322	470.0
E3.11.Fun.sp.1.20150125.S	26.23513	267.619047619	139.0
E3.15.Dip.heli.1.20150118.M	21.61457	172.125	102.0
E10.Acr.pali.2.20150627.T	9.57091	64.1428571429	37.0
E10.Por.hero.2.20150628.M	14.7257	123.5	51.0
E1.5.Gal.astr.1.20140905.M	30.23305	457.84	177.0
