Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Alcyonacea Skeleton	not_applicable	95	0	681.1	44.56556967	-11.89589634	0.33421875
Alcyonacea Skeleton	Zooanthid Mucus	95	0	291.5	176.5	-0.642772396	0.864395604
Alcyonacea Skeleton	Millepora Tissue	95	0	64	14	1.278418453	0.898604651
Alcyonacea Skeleton	Coral Tissue	95	0	167.7487685	155.9580938	-0.464171347	0.90814433
Alcyonacea Skeleton	Coral Skeleton	95	0	210.0518868	170.4911389	-0.671650526	0.92
Alcyonacea Skeleton	Millepora Skeleton	95	0	82	30	0.250185117	1
Alcyonacea Skeleton	Zooanthid Skeleton	95	0	111	47	-0.196544772	1
Alcyonacea Skeleton	Whole Coral	95	0	40	0	None	None
Alcyonacea Skeleton	Heliopora Skeleton	95	0	525	0	None	None
Alcyonacea Skeleton	Millepora Mucus	95	0	44	0	None	None
Alcyonacea Tissue	not_applicable	195	0	681.1	44.56556967	-9.866226261	0.3335
Alcyonacea Tissue	Millepora Tissue	195	0	64	14	5.402348947	0.741862745
Alcyonacea Tissue	Millepora Skeleton	195	0	82	30	2.174686014	0.769795918
Alcyonacea Tissue	Zooanthid Mucus	195	0	291.5	176.5	-0.315661762	1
Alcyonacea Tissue	Zooanthid Skeleton	195	0	111	47	1.031860056	1
Alcyonacea Tissue	Coral Tissue	195	0	167.7487685	155.9580938	0.17387567	1
Alcyonacea Tissue	Coral Skeleton	195	0	210.0518868	170.4911389	-0.087869986	1
Alcyonacea Tissue	Heliopora Mucus	195	0	287	0	None	None
Alcyonacea Tissue	Heliopora Tissue	195	0	446	0	None	None
Alcyonacea Tissue	Alcyonacea Skeleton	195	0	95	0	None	None
Alcyonacea Tissue	Heliopora Skeleton	195	0	525	0	None	None
Alcyonacea Tissue	Whole Coral	195	0	40	0	None	None
Alcyonacea Tissue	Millepora Mucus	195	0	44	0	None	None
Coral Mucus	Coral Tissue	119.0235849	96.95551601	167.7487685	155.9580938	-3.830365561	0.019166667
Coral Mucus	Coral Skeleton	119.0235849	96.95551601	210.0518868	170.4911389	-6.741710823	0.038333333
Coral Mucus	not_applicable	119.0235849	96.95551601	681.1	44.56556967	-18.15951858	0.0575
Coral Mucus	Heliopora Skeleton	119.0235849	96.95551601	525	0	4.16753934	0.115
Coral Mucus	Zooanthid Tissue	119.0235849	96.95551601	391.5	222.5	-3.86103131	0.115
Coral Mucus	Heliopora Tissue	119.0235849	96.95551601	446	0	3.356567088	0.1725
Coral Mucus	Zooanthid Mucus	119.0235849	96.95551601	291.5	176.5	-2.465746351	0.2803125
Coral Mucus	Heliopora Mucus	119.0235849	96.95551601	287	0	1.724357111	0.36
Coral Mucus	Millepora Tissue	119.0235849	96.95551601	64	14	0.798747833	0.6828125
Coral Mucus	Whole Coral	119.0235849	96.95551601	40	0	-0.811214363	0.7245
Coral Mucus	Alcyonacea Tissue	119.0235849	96.95551601	195	0	0.779933728	0.802261905
Coral Mucus	Millepora Mucus	119.0235849	96.95551601	44	0	-0.770152477	0.805
Coral Mucus	Millepora Skeleton	119.0235849	96.95551601	82	30	0.537261778	0.8855
Coral Mucus	Alcyonacea Skeleton	119.0235849	96.95551601	95	0	-0.246613427	0.915208333
Coral Mucus	Unknown	119.0235849	96.95551601	100.1428571	95.91280053	0.504774549	0.959930556
Coral Mucus	Zooanthid Skeleton	119.0235849	96.95551601	111	47	0.116356624	1
Coral Tissue	not_applicable	167.7487685	155.9580938	681.1	44.56556967	-10.33918749	0.023
Coral Tissue	Coral Skeleton	167.7487685	155.9580938	210.0518868	170.4911389	-2.627735224	0.115
Coral Tissue	Heliopora Skeleton	167.7487685	155.9580938	525	0	2.279430826	0.270588235
Coral Tissue	Zooanthid Mucus	167.7487685	155.9580938	291.5	176.5	-1.109697914	0.641578947
Coral Tissue	Zooanthid Skeleton	167.7487685	155.9580938	111	47	0.511847278	0.85875
Heliopora Mucus	not_applicable	287	0	681.1	44.56556967	-7.998929787	0.324090909
Heliopora Mucus	Millepora Skeleton	287	0	82	30	3.945226839	0.674918033
Heliopora Mucus	Zooanthid Skeleton	287	0	111	47	2.161992497	0.708482143
Heliopora Mucus	Coral Tissue	287	0	167.7487685	155.9580938	0.760878925	0.731818182
Heliopora Mucus	Millepora Tissue	287	0	64	14	9.196365002	0.737735849
Heliopora Mucus	Coral Skeleton	287	0	210.0518868	170.4911389	0.449208111	0.985050505
Heliopora Mucus	Zooanthid Mucus	287	0	291.5	176.5	-0.014719979	1
Heliopora Mucus	Whole Coral	287	0	40	0	None	None
Heliopora Mucus	Heliopora Skeleton	287	0	525	0	None	None
Heliopora Mucus	Millepora Mucus	287	0	44	0	None	None
Heliopora Mucus	Alcyonacea Skeleton	287	0	95	0	None	None
Heliopora Skeleton	Coral Skeleton	525	0	210.0518868	170.4911389	1.838605797	0.369210526
Heliopora Skeleton	not_applicable	525	0	681.1	44.56556967	-3.168314995	0.383333333
Heliopora Skeleton	Zooanthid Skeleton	525	0	111	47	5.085595988	0.743076923
Heliopora Skeleton	Zooanthid Mucus	525	0	291.5	176.5	0.763803331	1
Heliopora Tissue	Coral Tissue	446	0	167.7487685	155.9580938	1.775373682	0.345
Heliopora Tissue	not_applicable	446	0	681.1	44.56556967	-4.771754359	0.364166667
Heliopora Tissue	Coral Skeleton	446	0	210.0518868	170.4911389	1.37741917	0.440285714
Heliopora Tissue	Zooanthid Skeleton	446	0	111	47	4.115156174	0.706140351
Heliopora Tissue	Millepora Tissue	446	0	64	14	15.75341449	0.7567
Heliopora Tissue	Millepora Skeleton	446	0	82	30	7.005183266	0.773854167
Heliopora Tissue	Zooanthid Mucus	446	0	291.5	176.5	0.50538593	1
Heliopora Tissue	Heliopora Mucus	446	0	287	0	None	None
Heliopora Tissue	Alcyonacea Skeleton	446	0	95	0	None	None
Heliopora Tissue	Whole Coral	446	0	40	0	None	None
Heliopora Tissue	Heliopora Skeleton	446	0	525	0	None	None
Heliopora Tissue	Millepora Mucus	446	0	44	0	None	None
Millepora Mucus	not_applicable	44	0	681.1	44.56556967	-12.93102808	0.348382353
Millepora Mucus	Coral Tissue	44	0	167.7487685	155.9580938	-0.789575326	0.682580645
Millepora Mucus	Coral Skeleton	44	0	210.0518868	170.4911389	-0.969378602	0.795
Millepora Mucus	Zooanthid Skeleton	44	0	111	47	-0.823031235	0.879488636
Millepora Mucus	Zooanthid Mucus	44	0	291.5	176.5	-0.809598819	0.982727273
Millepora Mucus	Heliopora Skeleton	44	0	525	0	None	None
Millepora Mucus	Whole Coral	44	0	40	0	None	None
Millepora Skeleton	not_applicable	82	30	681.1	44.56556967	-16.61825603	0.138
Millepora Skeleton	Zooanthid Mucus	82	30	291.5	176.5	-1.170185646	0.684152542
Millepora Skeleton	Heliopora Skeleton	82	30	525	0	8.525538975	0.732592593
Millepora Skeleton	Coral Skeleton	82	30	210.0518868	170.4911389	-1.057053071	0.780531915
Millepora Skeleton	Whole Coral	82	30	40	0	-0.808290377	0.854462366
Millepora Skeleton	Coral Tissue	82	30	167.7487685	155.9580938	-0.773618616	0.866666667
Millepora Skeleton	Millepora Tissue	82	30	64	14	0.543709884	0.867611111
Millepora Skeleton	Zooanthid Skeleton	82	30	111	47	-0.520100938	0.909047619
Millepora Skeleton	Millepora Mucus	82	30	44	0	-0.731310341	1
Millepora Tissue	not_applicable	64	14	681.1	44.56556967	-17.70256966	0.135909091
Millepora Tissue	Coral Skeleton	64	14	210.0518868	170.4911389	-1.205778647	0.652702703
Millepora Tissue	Zooanthid Mucus	64	14	291.5	176.5	-1.284916039	0.674076923
Millepora Tissue	Coral Tissue	64	14	167.7487685	155.9580938	-0.936146632	0.682698413
Millepora Tissue	Heliopora Skeleton	64	14	525	0	19.01131958	0.695948276
Millepora Tissue	Zooanthid Skeleton	64	14	111	47	-0.958385684	0.906470588
Millepora Tissue	Millepora Mucus	64	14	44	0	-0.824786099	0.931219512
Millepora Tissue	Whole Coral	64	14	40	0	-0.989743319	0.96221519
not_applicable	Coral Skeleton	681.1	44.56556967	210.0518868	170.4911389	8.683595224	0.02875
not_applicable	Zooanthid Mucus	681.1	44.56556967	291.5	176.5	5.548796993	0.1725
not_applicable	Zooanthid Skeleton	681.1	44.56556967	111	47	14.9369151	0.185769231
Unknown	not_applicable	100.1428571	95.91280053	681.1	44.56556967	-15.72948457	0.115
Unknown	Heliopora Tissue	100.1428571	95.91280053	446	0	3.122847734	0.345
Unknown	Coral Skeleton	100.1428571	95.91280053	210.0518868	170.4911389	-1.689005255	0.349259259
Unknown	Heliopora Mucus	100.1428571	95.91280053	287	0	1.68718911	0.349423077
Unknown	Zooanthid Mucus	100.1428571	95.91280053	291.5	176.5	-1.77398219	0.376363636
Unknown	Heliopora Skeleton	100.1428571	95.91280053	525	0	3.836162396	0.472777778
Unknown	Coral Tissue	100.1428571	95.91280053	167.7487685	155.9580938	-1.134054951	0.719487179
Unknown	Alcyonacea Tissue	100.1428571	95.91280053	195	0	0.856493554	0.853059701
Unknown	Whole Coral	100.1428571	95.91280053	40	0	-0.543047871	0.923631579
Unknown	Millepora Mucus	100.1428571	95.91280053	44	0	-0.506930673	0.970459184
Unknown	Millepora Tissue	100.1428571	95.91280053	64	14	0.468566039	1
Unknown	Millepora Skeleton	100.1428571	95.91280053	82	30	0.232694083	1
Unknown	Zooanthid Skeleton	100.1428571	95.91280053	111	47	-0.136575419	1
Unknown	Alcyonacea Skeleton	100.1428571	95.91280053	95	0	-0.046436398	1
Whole Coral	not_applicable	40	0	681.1	44.56556967	-13.01221489	0.37375
Whole Coral	Coral Tissue	40	0	167.7487685	155.9580938	-0.815097206	0.721363636
Whole Coral	Coral Skeleton	40	0	210.0518868	170.4911389	-0.992729823	0.723658537
Whole Coral	Zooanthid Mucus	40	0	291.5	176.5	-0.822683245	0.973076923
Whole Coral	Zooanthid Skeleton	40	0	111	47	-0.872167428	0.994144737
Whole Coral	Heliopora Skeleton	40	0	525	0	None	None
Zooanthid Mucus	Zooanthid Skeleton	291.5	176.5	111	47	0.988225483	0.939876543
Zooanthid Mucus	Coral Skeleton	291.5	176.5	210.0518868	170.4911389	0.6690688	0.973450704
Zooanthid Skeleton	Coral Skeleton	111	47	210.0518868	170.4911389	-0.817487942	0.857426471
Zooanthid Tissue	not_applicable	391.5	222.5	681.1	44.56556967	-3.429103473	0.291333333
Zooanthid Tissue	Coral Tissue	391.5	222.5	167.7487685	155.9580938	1.999089533	0.313055556
Zooanthid Tissue	Coral Skeleton	391.5	222.5	210.0518868	170.4911389	1.486159385	0.341290323
Zooanthid Tissue	Unknown	391.5	222.5	100.1428571	95.91280053	2.378382221	0.3542
Zooanthid Tissue	Millepora Skeleton	391.5	222.5	82	30	1.378537101	0.680416667
Zooanthid Tissue	Zooanthid Skeleton	391.5	222.5	111	47	1.233455686	0.797333333
Zooanthid Tissue	Millepora Tissue	391.5	222.5	64	14	1.469005019	0.802325581
Zooanthid Tissue	Whole Coral	391.5	222.5	40	0	-0.912083684	0.855159574
Zooanthid Tissue	Millepora Mucus	391.5	222.5	44	0	-0.901704353	0.876067416
Zooanthid Tissue	Alcyonacea Skeleton	391.5	222.5	95	0	-0.769367887	0.889597701
Zooanthid Tissue	Zooanthid Mucus	391.5	222.5	291.5	176.5	0.352107219	0.951625
Zooanthid Tissue	Alcyonacea Tissue	391.5	222.5	195	0	-0.50988462	1
Zooanthid Tissue	Heliopora Skeleton	391.5	222.5	525	0	0.346410162	1
Zooanthid Tissue	Heliopora Tissue	391.5	222.5	446	0	0.141418381	1
Zooanthid Tissue	Heliopora Mucus	391.5	222.5	287	0	-0.271160014	1
