Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Reef Water	Heliopora Skeleton	697.5	37.5	E1.Out.Hel.coer.1.20140811.S	0.0	-2.65581123827	0.66602739726
Whole Coral	Millepora Mucus	E1.11.Psa.cont.1.20140730.TS	0.0	44.0	0.0	None	None
Alcyonacea Tissue	Heliopora Mucus	E1.Out.Lob.sp.1.20140803.T	0.0	E1.Out.Hel.coer.1.20140811.M	0.0	None	None
Zooanthid Tissue	Coral Tissue	391.5	222.5	167.748768473	155.958093828	1.99908953297	0.3055
Alcyonacea Tissue	Heliopora Tissue	E1.Out.Lob.sp.1.20140803.T	0.0	E1.Out.Hel.coer.1.20140811.T	0.0	None	None
Whole Coral	Zooanthid Mucus	E1.11.Psa.cont.1.20140730.TS	0.0	291.5	176.5	-0.822683244766	0.908875
Alcyonacea Tissue	Alcyonacea Skeleton	E1.Out.Lob.sp.1.20140803.T	0.0	E1.Out.Lob.sp.1.20140803.S	0.0	None	None
Alcyonacea Mucus	Whole Coral	E1.Out.Lob.sp.1.20140803.M	0.0	E1.11.Psa.cont.1.20140730.TS	0.0	None	None
Alcyonacea Tissue	Millepora Skeleton	E1.Out.Lob.sp.1.20140803.T	0.0	82.0	30.0	2.17468601395	0.749596774194
Coral Mucus	Coral Skeleton	119.004739336	97.1846094748	210.051886792	170.491138889	-6.72715307276	0.0476666666667
Alcyonacea Tissue	Zooanthid Mucus	E1.Out.Lob.sp.1.20140803.T	0.0	291.5	176.5	-0.315661761908	1.0
Alcyonacea Skeleton	Millepora Tissue	E1.Out.Lob.sp.1.20140803.S	0.0	64.0	14.0	1.27841845321	0.944666666667
Coral Mucus	Reef Water	119.004739336	97.1846094748	697.5	37.5	-8.37264146967	0.0238333333333
Coral Mucus	Coral Tissue	119.004739336	97.1846094748	167.748768473	155.958093828	-3.82278100792	0.143
Alcyonacea Skeleton	Millepora Skeleton	E1.Out.Lob.sp.1.20140803.S	0.0	82.0	30.0	0.250185116649	1.0
Unknown	Millepora Tissue	100.142857143	95.9128005332	64.0	14.0	0.468566038648	1.0
Heliopora Tissue	Millepora Skeleton	E1.Out.Hel.coer.1.20140811.T	0.0	82.0	30.0	7.00518326617	0.645381578947
Whole Coral	Coral Skeleton	E1.11.Psa.cont.1.20140730.TS	0.0	210.051886792	170.491138889	-0.992729823267	0.852041666667
Coral Mucus	Millepora Skeleton	119.004739336	97.1846094748	82.0	30.0	0.535710594609	0.907808988764
Zooanthid Tissue	Alcyonacea Tissue	391.5	222.5	E1.Out.Lob.sp.1.20140803.T	0.0	-0.509884619756	1.0
Alcyonacea Tissue	Heliopora Skeleton	E1.Out.Lob.sp.1.20140803.T	0.0	E1.Out.Hel.coer.1.20140811.S	0.0	None	None
Unknown	Coral Skeleton	100.142857143	95.9128005332	210.051886792	170.491138889	-1.68900525539	0.468448275862
Millepora Skeleton	Reef Water	82.0	30.0	697.5	37.5	-12.816660059	0.650173333333
Millepora Skeleton	Millepora Tissue	82.0	30.0	64.0	14.0	0.543709883997	0.956773195876
Zooanthid Tissue	Whole Coral	391.5	222.5	E1.11.Psa.cont.1.20140730.TS	0.0	-0.912083683686	0.867947826087
Heliopora Tissue	Reef Water	E1.Out.Hel.coer.1.20140811.T	0.0	697.5	37.5	-3.87209580537	0.732875
Heliopora Tissue	Millepora Tissue	E1.Out.Hel.coer.1.20140811.T	0.0	64.0	14.0	15.7534144879	0.637320987654
Coral Skeleton	Millepora Mucus	210.051886792	170.491138889	44.0	0.0	-0.969378601661	0.858
Alcyonacea Mucus	Reef Water	E1.Out.Lob.sp.1.20140803.M	0.0	697.5	37.5	-8.84500612399	0.696073529412
Coral Mucus	Reef Sediment	119.004739336	97.1846094748	677.0	45.2437841035	-16.0993648168	0.0204285714286
Reef Water	Zooanthid Skeleton	697.5	37.5	111.0	47.0	9.75436155391	0.84942
Coral Tissue	Heliopora Skeleton	167.748768473	155.958093828	E1.Out.Hel.coer.1.20140811.S	0.0	2.27943082574	0.3003
Millepora Tissue	Zooanthid Skeleton	64.0	14.0	111.0	47.0	-0.958385683586	0.949928571429
Unknown	Millepora Skeleton	100.142857143	95.9128005332	82.0	30.0	0.232694082659	1.0
Heliopora Mucus	Zooanthid Mucus	E1.Out.Hel.coer.1.20140811.M	0.0	291.5	176.5	-0.0147199785346	1.0
Reef Sediment	Heliopora Skeleton	677.0	45.2437841035	E1.Out.Hel.coer.1.20140811.S	0.0	-2.96286887618	0.456054054054
Heliopora Mucus	Whole Coral	E1.Out.Hel.coer.1.20140811.M	0.0	E1.11.Psa.cont.1.20140730.TS	0.0	None	None
Unknown	Coral Tissue	100.142857143	95.9128005332	167.748768473	155.958093828	-1.13405495102	0.8008
Alcyonacea Tissue	Whole Coral	E1.Out.Lob.sp.1.20140803.T	0.0	E1.11.Psa.cont.1.20140730.TS	0.0	None	None
Zooanthid Tissue	Millepora Tissue	391.5	222.5	64.0	14.0	1.4690050189	0.657027027027
Zooanthid Tissue	Reef Sediment	391.5	222.5	677.0	45.2437841035	-3.00697511176	0.320047619048
Alcyonacea Skeleton	Zooanthid Skeleton	E1.Out.Lob.sp.1.20140803.S	0.0	111.0	47.0	-0.19654477249	1.0
Millepora Skeleton	Coral Tissue	82.0	30.0	167.748768473	155.958093828	-0.773618616186	0.885625
Heliopora Mucus	Heliopora Skeleton	E1.Out.Hel.coer.1.20140811.M	0.0	E1.Out.Hel.coer.1.20140811.S	0.0	None	None
Unknown	Alcyonacea Tissue	100.142857143	95.9128005332	E1.Out.Lob.sp.1.20140803.T	0.0	0.856493554437	0.775816091954
Alcyonacea Mucus	Zooanthid Skeleton	E1.Out.Lob.sp.1.20140803.M	0.0	111.0	47.0	0.147408579368	1.0
Reef Sediment	Alcyonacea Mucus	677.0	45.2437841035	E1.Out.Lob.sp.1.20140803.M	0.0	-10.7988773513	0.494
Heliopora Mucus	Zooanthid Skeleton	E1.Out.Hel.coer.1.20140811.M	0.0	111.0	47.0	2.16199249739	0.844759259259
Reef Sediment	Reef Water	677.0	45.2437841035	697.5	37.5	-0.529466311862	0.969571428571
Alcyonacea Tissue	Zooanthid Skeleton	E1.Out.Lob.sp.1.20140803.T	0.0	111.0	47.0	1.03186005557	0.889777777778
Alcyonacea Skeleton	Whole Coral	E1.Out.Lob.sp.1.20140803.S	0.0	E1.11.Psa.cont.1.20140730.TS	0.0	None	None
Zooanthid Mucus	Zooanthid Skeleton	291.5	176.5	111.0	47.0	0.988225483483	0.930207920792
Unknown	Millepora Mucus	100.142857143	95.9128005332	44.0	0.0	-0.506930673033	0.978729508197
Alcyonacea Mucus	Coral Skeleton	E1.Out.Lob.sp.1.20140803.M	0.0	210.051886792	170.491138889	-0.508191974935	0.93731092437
Zooanthid Tissue	Coral Skeleton	391.5	222.5	210.051886792	170.491138889	1.48615938549	0.484
Millepora Tissue	Whole Coral	64.0	14.0	E1.11.Psa.cont.1.20140730.TS	0.0	-0.989743318611	0.973905263158
Coral Mucus	Zooanthid Skeleton	119.004739336	97.1846094748	111.0	47.0	0.11580711989	1.0
Zooanthid Tissue	Alcyonacea Mucus	391.5	222.5	E1.Out.Lob.sp.1.20140803.M	0.0	-0.696712572033	0.900219047619
Alcyonacea Skeleton	Reef Water	E1.Out.Lob.sp.1.20140803.S	0.0	697.5	37.5	-9.27609432498	0.715
Millepora Tissue	Coral Tissue	64.0	14.0	167.748768473	155.958093828	-0.936146631756	0.669035714286
Reef Sediment	Alcyonacea Skeleton	677.0	45.2437841035	E1.Out.Lob.sp.1.20140803.S	0.0	-11.3446689864	0.483676470588
